1 0:-0.17037 1:-0.159664 2:-0.840708 3:-0.769081 4:-0.775387 5:-0.839368 6:-0.839562 7:-1 8:1 9:-1 
1 0:-0.00740741 1:0.092437 2:-0.787611 3:-0.689038 4:-0.761264 5:-0.768269 6:-0.703039 7:-1 8:1 9:-1 
1 0:-0.00740741 1:0.0252101 2:-0.80531 3:-0.652913 4:-0.717552 5:-0.711652 6:-0.704036 7:-1 8:1 9:-1 
1 0:0.00740741 1:0.0588235 2:-0.778761 3:-0.616434 4:-0.673167 5:-0.735352 6:-0.674141 7:-1 8:1 9:-1 
1 0:0.00740741 1:0.00840336 2:-0.79646 3:-0.666726 4:-0.723605 5:-0.706386 6:-0.73991 7:-1 8:1 9:-1 
1 0:0.00740741 1:0.0420168 2:-0.823009 3:-0.674872 4:-0.704775 5:-0.781435 6:-0.733931 7:-1 8:1 9:-1 
1 0:0.0518519 1:0.00840336 2:-0.787611 3:-0.649726 4:-0.713517 5:-0.726136 6:-0.705032 7:-1 8:1 9:-1 
1 0:0.0518519 1:0.092437 2:-0.769912 3:-0.638392 4:-0.707465 5:-0.695853 6:-0.684106 7:-1 8:1 9:-1 
1 0:0.0518519 1:0.142857 2:-0.787611 3:-0.609704 4:-0.700067 5:-0.639236 6:-0.670154 7:-1 8:-1 9:1 
1 0:0.0666667 1:0.092437 2:-0.761062 3:-0.580662 4:-0.605245 5:-0.727452 6:-0.691081 7:-1 8:1 9:-1 
1 0:0.0666667 1:0.226891 2:-0.761062 3:-0.522224 4:-0.595158 5:-0.628703 6:-0.59143 7:-1 8:-1 9:1 
1 0:0.0666667 1:0.0756303 2:-0.743363 3:-0.590933 4:-0.679892 5:-0.639236 6:-0.63428 7:-1 8:1 9:-1 
1 0:0.0666667 1:0.193277 2:-0.752212 3:-0.532849 4:-0.653665 5:-0.573404 6:-0.612357 7:-1 8:1 9:-1 
1 0:0.0666667 1:0.0756303 2:-0.778761 3:-0.598017 4:-0.652993 5:-0.674786 6:-0.690085 7:-1 8:1 9:-1 
1 0:0.0666667 1:0.142857 2:-0.752212 3:-0.561183 4:-0.607935 5:-0.684003 6:-0.61435 7:-1 8:1 9:-1 
1 0:0.0814815 1:0.176471 2:-0.769912 3:-0.57535 4:-0.595831 5:-0.711652 6:-0.644245 7:-1 8:1 9:-1 
1 0:0.0814815 1:0.092437 2:-0.787611 3:-0.580662 4:-0.65232 5:-0.623436 6:-0.644245 7:-1 8:1 9:-1 
1 0:0.0814815 1:0.142857 2:-0.814159 3:-0.611121 4:-0.667787 5:-0.730086 6:-0.662182 7:-1 8:1 9:-1 
1 0:0.111111 1:0.092437 2:-0.787611 3:-0.558704 4:-0.562206 5:-0.660303 6:-0.684106 7:-1 8:1 9:-1 
0 0:0.111111 1:0.226891 2:-0.761062 3:-0.497786 4:-0.548083 5:-0.62212 6:-0.59442 7:-1 8:1 9:-1 
1 0:0.111111 1:0.159664 2:-0.761062 3:-0.508057 4:-0.570948 5:-0.670836 6:-0.65421 7:-1 8:1 9:-1 
0 0:0.125926 1:0.159664 2:-0.769912 3:-0.588808 4:-0.687962 5:-0.64187 6:-0.644245 7:-1 8:1 9:-1 
1 0:0.125926 1:0.142857 2:-0.778761 3:-0.531787 4:-0.597176 5:-0.656353 6:-0.623318 7:-1 8:1 9:-1 
1 0:0.140741 1:0.159664 2:-0.778761 3:-0.508057 4:-0.505044 5:-0.636603 6:-0.676134 7:-1 8:1 9:-1 
1 0:0.140741 1:0.226891 2:-0.725664 3:-0.404994 4:-0.425689 5:-0.628703 6:-0.595416 7:-1 8:-1 9:1 
1 0:0.155556 1:0.210084 2:-0.769912 3:-0.509828 4:-0.476126 5:-0.709019 6:-0.670154 7:-1 8:1 9:-1 
0 0:0.155556 1:0.226891 2:-0.725664 3:-0.427661 4:-0.365837 5:-0.709019 6:-0.620329 7:-1 8:1 9:-1 
1 0:0.155556 1:0.210084 2:-0.80531 3:-0.594475 4:-0.661735 5:-0.676103 6:-0.626308 7:-1 8:1 9:-1 
1 0:0.155556 1:0.243697 2:-0.769912 3:-0.457765 4:-0.437794 5:-0.684003 6:-0.584454 7:-1 8:1 9:-1 
1 0:0.17037 1:0.159664 2:-0.761062 3:-0.574641 4:-0.61197 5:-0.682686 6:-0.696064 7:-1 8:1 9:-1 
1 0:0.17037 1:0.210084 2:-0.734513 3:-0.593058 4:-0.517821 5:-0.64582 6:-0.554559 7:-1 8:1 9:-1 
1 0:0.17037 1:0.193277 2:-0.769912 3:-0.495307 4:-0.550773 5:-0.62212 6:-0.589437 7:1 8:-1 9:-1 
1 0:0.17037 1:0.277311 2:-0.734513 3:-0.493536 4:-0.533961 5:-0.620803 6:-0.616343 7:-1 8:-1 9:1 
0 0:0.185185 1:0.226891 2:-0.743363 3:-0.388348 4:-0.420982 5:-0.572087 6:-0.569507 7:1 8:-1 9:-1 
1 0:0.185185 1:0.226891 2:-0.752212 3:-0.486807 4:-0.570276 5:-0.620803 6:-0.546587 7:-1 8:1 9:-1 
1 0:0.2 1:0.277311 2:-0.761062 3:-0.454932 4:-0.501009 5:-0.611587 6:-0.550573 7:-1 8:1 9:-1 
1 0:0.2 1:0.310924 2:-0.734513 3:-0.434744 4:-0.525891 5:-0.572087 6:-0.590433 7:1 8:-1 9:-1 
0 0:0.2 1:0.260504 2:-0.734513 3:-0.48539 4:-0.595158 5:-0.655036 6:-0.495765 7:-1 8:1 9:-1 
1 0:0.2 1:0.176471 2:-0.761062 3:-0.580308 4:-0.638198 5:-0.689269 6:-0.63428 7:-1 8:1 9:-1 
0 0:0.214815 1:0.260504 2:-0.743363 3:-0.442182 4:-0.497646 5:-0.55102 6:-0.558545 7:-1 8:1 9:-1 
1 0:0.214815 1:0.176471 2:-0.778761 3:-0.540287 4:-0.602555 5:-0.640553 6:-0.604385 7:1 8:-1 9:-1 
1 0:0.214815 1:0.260504 2:-0.734513 3:-0.381973 4:-0.445864 5:-0.499671 6:-0.508719 7:-1 8:-1 9:1 
0 0:0.214815 1:0.277311 2:-0.752212 3:-0.467682 4:-0.559516 5:-0.591837 6:-0.539611 7:-1 8:1 9:-1 
1 0:0.214815 1:0.243697 2:-0.761062 3:-0.483974 4:-0.554136 5:-0.59447 6:-0.574489 7:-1 8:1 9:-1 
1 0:0.22963 1:0.294118 2:-0.752212 3:-0.384806 4:-0.453934 5:-0.59052 6:-0.494768 7:-1 8:-1 9:1 
0 0:0.22963 1:0.260504 2:-0.725664 3:-0.477599 4:-0.579691 5:-0.623436 6:-0.444943 7:-1 8:1 9:-1 
1 0:0.22963 1:0.260504 2:-0.752212 3:-0.458474 4:-0.542703 5:-0.56682 6:-0.544594 7:-1 8:1 9:-1 
1 0:0.22963 1:0.243697 2:-0.743363 3:-0.441473 4:-0.532616 5:-0.536537 6:-0.554559 7:-1 8:1 9:-1 
1 0:0.244444 1:0.243697 2:-0.761062 3:-0.420223 4:-0.501681 5:-0.514154 6:-0.532636 7:-1 8:1 9:-1 
1 0:0.244444 1:0.243697 2:-0.743363 3:-0.514078 4:-0.585071 5:-0.65767 6:-0.5715 7:-1 8:1 9:-1 
0 0:0.244444 1:0.310924 2:-0.725664 3:-0.134408 4:-0.252858 5:-0.152074 6:-0.465869 7:1 8:-1 9:-1 
1 0:0.244444 1:0.344538 2:-0.743363 3:-0.311493 4:-0.265636 5:-0.576037 6:-0.534629 7:-1 8:1 9:-1 
0 0:0.259259 1:0.294118 2:-0.690265 3:-0.382681 4:-0.444519 5:-0.448321 6:-0.584454 7:-1 8:1 9:-1 
1 0:0.259259 1:0.327731 2:-0.743363 3:-0.399681 4:-0.434432 5:-0.557604 6:-0.554559 7:1 8:-1 9:-1 
1 0:0.259259 1:0.310924 2:-0.734513 3:-0.437577 4:-0.512441 5:-0.516787 6:-0.566517 7:-1 8:-1 9:1 
0 0:0.259259 1:0.12605 2:-0.778761 3:-0.474411 4:-0.527909 5:-0.658986 6:-0.667165 7:-1 8:-1 9:1 
0 0:0.274074 1:0.327731 2:-0.743363 3:-0.469453 4:-0.621385 5:-0.423305 6:-0.561535 7:-1 8:1 9:-1 
1 0:0.274074 1:0.327731 2:-0.761062 3:-0.438994 4:-0.488231 5:-0.628703 6:-0.514699 7:-1 8:1 9:-1 
1 0:0.274074 1:0.361345 2:-0.761062 3:-0.307597 4:-0.467384 5:-0.336406 6:-0.473842 7:1 8:-1 9:-1 
0 0:0.274074 1:0.277311 2:-0.699115 3:-0.383035 4:-0.487559 5:-0.519421 6:-0.463876 7:-1 8:-1 9:1 
0 0:0.274074 1:0.294118 2:-0.769912 3:-0.458474 4:-0.534633 5:-0.531271 6:-0.600399 7:-1 8:1 9:-1 
1 0:0.274074 1:0.277311 2:-0.778761 3:-0.366389 4:-0.486214 5:-0.518104 6:-0.454908 7:-1 8:-1 9:1 
0 0:0.288889 1:0.226891 2:-0.761062 3:-0.394369 4:-0.381305 5:-0.61422 6:-0.579472 7:1 8:-1 9:-1 
1 0:0.288889 1:0.428571 2:-0.707965 3:-0.237825 4:-0.314055 5:-0.449638 6:-0.393124 7:1 8:-1 9:-1 
0 0:0.288889 1:0.361345 2:-0.725664 3:-0.369577 4:-0.407532 5:-0.537854 6:-0.564524 7:-1 8:-1 9:1 
0 0:0.303704 1:0.361345 2:-0.725664 3:0.0182398 4:-0.0981843 5:-0.282423 6:-0.414051 7:-1 8:-1 9:1 
0 0:0.303704 1:0.344538 2:-0.761062 3:-0.437932 4:-0.456624 5:-0.561554 6:-0.596413 7:-1 8:-1 9:1 
1 0:0.303704 1:0.310924 2:-0.734513 3:-0.39366 4:-0.463349 5:-0.59052 6:-0.498754 7:1 8:-1 9:-1 
1 0:0.318519 1:0.378151 2:-0.725664 3:-0.353639 4:-0.388702 5:-0.483871 6:-0.534629 7:-1 8:-1 9:1 
0 0:0.318519 1:0.462185 2:-0.672566 3:-0.17195 4:-0.29926 5:-0.333772 6:-0.335326 7:-1 8:-1 9:1 
0 0:0.318519 1:0.411765 2:-0.716814 3:-0.257305 4:-0.35575 5:-0.385122 6:-0.434978 7:-1 8:1 9:-1 
0 0:0.318519 1:0.361345 2:-0.707965 3:-0.212679 4:-0.217888 5:-0.383805 6:-0.456901 7:-1 8:-1 9:1 
0 0:0.318519 1:0.394958 2:-0.707965 3:-0.00336462 4:0.0746469 5:-0.398288 6:-0.415047 7:-1 8:-1 9:1 
0 0:0.318519 1:0.411765 2:-0.734513 3:-0.247034 4:-0.286483 5:-0.477288 6:-0.428002 7:-1 8:-1 9:1 
1 0:0.318519 1:0.327731 2:-0.681416 3:-0.435098 4:-0.549428 5:-0.512837 6:-0.530643 7:-1 8:-1 9:1 
1 0:0.333333 1:0.310924 2:-0.761062 3:-0.454932 4:-0.560188 5:-0.541804 6:-0.544594 7:-1 8:1 9:-1 
1 0:0.333333 1:0.394958 2:-0.681416 3:-0.160616 4:-0.196369 5:-0.403555 6:-0.385152 7:-1 8:-1 9:1 
0 0:0.333333 1:0.344538 2:-0.725664 3:-0.374181 4:-0.479489 5:-0.506254 6:-0.454908 7:-1 8:-1 9:1 
0 0:0.348148 1:0.378151 2:-0.734513 3:-0.307243 4:-0.447882 5:-0.485188 6:-0.553563 7:1 8:-1 9:-1 
0 0:0.348148 1:0.378151 2:-0.725664 3:-0.274659 4:-0.376597 5:-0.706386 6:-0.395117 7:1 8:-1 9:-1 
0 0:0.362963 1:0.411765 2:-0.699115 3:-0.199929 4:-0.31809 5:-0.285056 6:-0.387145 7:-1 8:-1 9:1 
0 0:0.362963 1:0.428571 2:-0.725664 3:-0.283159 4:-0.394755 5:-0.504937 6:-0.355257 7:-1 8:-1 9:1 
0 0:0.362963 1:0.411765 2:-0.734513 3:-0.208075 4:-0.241426 5:-0.352205 6:-0.464873 7:-1 8:1 9:-1 
0 0:0.362963 1:0.378151 2:-0.725664 3:-0.264742 4:-0.361802 5:-0.342989 6:-0.444943 7:1 8:-1 9:-1 
0 0:0.362963 1:0.344538 2:-0.743363 3:-0.371348 4:-0.437794 5:-0.549704 6:-0.466866 7:1 8:-1 9:-1 
0 0:0.362963 1:0.361345 2:-0.725664 3:-0.321764 4:-0.402152 5:-0.503621 6:-0.415047 7:-1 8:-1 9:1 
0 0:0.377778 1:0.445378 2:-0.734513 3:-0.124491 4:-0.151984 5:-0.406188 6:-0.345291 7:-1 8:1 9:-1 
0 0:0.377778 1:0.462185 2:-0.752212 3:-0.31043 4:-0.437794 5:-0.458855 6:-0.375187 7:-1 8:-1 9:1 
0 0:0.377778 1:0.277311 2:-0.769912 3:-0.362139 4:-0.420309 5:-0.54312 6:-0.484803 7:-1 8:1 9:-1 
1 0:0.377778 1:0.411765 2:-0.690265 3:-0.239242 4:-0.378615 5:-0.423305 6:-0.335326 7:1 8:-1 9:-1 
0 0:0.377778 1:0.394958 2:-0.716814 3:-0.23393 4:-0.274378 5:-0.418038 6:-0.454908 7:1 8:-1 9:-1 
0 0:0.392593 1:0.327731 2:-0.734513 3:-0.384452 4:-0.453934 5:-0.518104 6:-0.504733 7:-1 8:-1 9:1 
0 0:0.392593 1:0.428571 2:-0.707965 3:-0.120241 4:-0.147949 5:-0.324556 6:-0.395117 7:-1 8:-1 9:1 
0 0:0.392593 1:0.411765 2:-0.699115 3:-0.274305 4:-0.416274 5:-0.386438 6:-0.398107 7:-1 8:-1 9:1 
1 0:0.392593 1:0.378151 2:-0.734513 3:-0.321055 4:-0.396772 5:-0.54707 6:-0.432985 7:-1 8:1 9:-1 
0 0:0.392593 1:0.428571 2:-0.699115 3:-0.196033 4:-0.387357 5:-0.237656 6:-0.31141 7:-1 8:-1 9:1 
0 0:0.392593 1:0.361345 2:-0.716814 3:-0.293076 4:-0.33692 5:-0.482554 6:-0.454908 7:-1 8:-1 9:1 
0 0:0.407407 1:0.411765 2:-0.725664 3:-0.290243 4:-0.399462 5:-0.493088 6:-0.426009 7:1 8:-1 9:-1 
0 0:0.407407 1:0.394958 2:-0.707965 3:-0.202408 4:-0.400807 5:-0.423305 6:-0.325361 7:-1 8:-1 9:1 
0 0:0.407407 1:0.495798 2:-0.699115 3:-0.254826 4:-0.349697 5:-0.400922 6:-0.415047 7:-1 8:-1 9:1 
0 0:0.407407 1:0.411765 2:-0.707965 3:-0.276784 4:-0.341627 5:-0.486504 6:-0.398107 7:1 8:-1 9:-1 
0 0:0.407407 1:0.411765 2:-0.699115 3:-0.2017 4:-0.356422 5:-0.206057 6:-0.405082 7:-1 8:-1 9:1 
1 0:0.407407 1:0.428571 2:-0.690265 3:-0.209492 4:-0.401479 5:-0.159974 6:-0.405082 7:-1 8:-1 9:1 
0 0:0.407407 1:0.411765 2:-0.725664 3:-0.211617 4:-0.35037 5:-0.444371 6:-0.295466 7:1 8:-1 9:-1 
0 0:0.422222 1:0.529412 2:-0.690265 3:-0.0936781 4:-0.232683 5:-0.373272 6:-0.22571 7:-1 8:-1 9:1 
0 0:0.422222 1:0.478992 2:-0.681416 3:-0.112095 4:-0.225958 5:-0.332456 6:-0.295466 7:-1 8:-1 9:1 
0 0:0.422222 1:0.495798 2:-0.734513 3:-0.0855321 4:-0.199731 5:-0.175774 6:-0.297459 7:1 8:-1 9:-1 
0 0:0.422222 1:0.411765 2:-0.716814 3:-0.201346 4:-0.378615 5:-0.294273 6:-0.345291 7:1 8:-1 9:-1 
1 0:0.437037 1:0.344538 2:-0.699115 3:-0.234992 4:-0.334902 5:-0.383805 6:-0.375187 7:-1 8:-1 9:1 
0 0:0.437037 1:0.512605 2:-0.690265 3:-0.186825 4:-0.264963 5:-0.327189 6:-0.396114 7:1 8:-1 9:-1 
1 0:0.437037 1:0.546218 2:-0.716814 3:-0.106074 4:-0.232683 5:-0.142857 6:-0.363229 7:1 8:-1 9:-1 
0 0:0.437037 1:0.428571 2:-0.725664 3:-0.148929 4:-0.212508 5:-0.371955 6:-0.368211 7:1 8:-1 9:-1 
1 0:0.451852 1:0.445378 2:-0.699115 3:-0.0660528 4:-0.201748 5:-0.0928242 6:-0.315396 7:1 8:-1 9:-1 
0 0:0.451852 1:0.512605 2:-0.681416 3:-0.100407 4:-0.190989 5:-0.22449 6:-0.375187 7:-1 8:1 9:-1 
0 0:0.451852 1:0.445378 2:-0.743363 3:-0.249159 4:-0.320108 5:-0.531271 6:-0.332337 7:-1 8:-1 9:1 
0 0:0.451852 1:0.411765 2:-0.743363 3:-0.250221 4:-0.306658 5:-0.423305 6:-0.444943 7:-1 8:1 9:-1 
0 0:0.451852 1:0.478992 2:-0.716814 3:-0.2272 4:-0.332885 5:-0.419355 6:-0.375187 7:-1 8:-1 9:1 
0 0:0.466667 1:0.462185 2:-0.716814 3:-0.221534 4:-0.28312 5:-0.510204 6:-0.3144 7:-1 8:-1 9:1 
1 0:0.466667 1:0.495798 2:-0.707965 3:0.0324066 4:-0.0531271 5:-0.304806 6:-0.22571 7:1 8:-1 9:-1 
1 0:0.466667 1:0.478992 2:-0.690265 3:-0.143616 4:-0.0504371 5:-0.283739 6:-0.359243 7:1 8:-1 9:-1 
0 0:0.466667 1:0.411765 2:-0.699115 3:-0.156012 4:-0.301278 5:-0.291639 6:-0.272546 7:-1 8:-1 9:1 
0 0:0.466667 1:0.529412 2:-0.725664 3:-0.302993 4:-0.456624 5:-0.407505 6:-0.385152 7:-1 8:-1 9:1 
0 0:0.481481 1:0.714286 2:-0.59292 3:0.0759695 4:-0.135171 5:-0.0217248 6:-0.193822 7:-1 8:-1 9:1 
0 0:0.481481 1:0.579832 2:-0.681416 3:-0.0710112 4:-0.347007 5:-0.21264 6:-0.190832 7:-1 8:-1 9:1 
0 0:0.496296 1:0.529412 2:-0.716814 3:-0.163095 4:-0.253531 5:-0.373272 6:-0.315396 7:-1 8:-1 9:1 
0 0:0.496296 1:0.495798 2:-0.654867 3:-0.00903134 4:-0.172159 5:-0.0757077 6:-0.260588 7:-1 8:-1 9:1 
0 0:0.496296 1:0.579832 2:-0.716814 3:0.0664069 4:0.00134499 5:-0.356155 6:-0.141006 7:-1 8:-1 9:1 
0 0:0.511111 1:0.512605 2:-0.707965 3:-0.179741 4:-0.357767 5:-0.279789 6:-0.307424 7:1 8:-1 9:-1 
0 0:0.511111 1:0.798319 2:-0.610619 3:0.175846 4:0.0342972 5:-0.00592495 6:-0.136024 7:1 8:-1 9:-1 
0 0:0.511111 1:0.579832 2:-0.690265 3:0.0869488 4:-0.0780094 5:-0.0572745 6:-0.195815 7:-1 8:-1 9:1 
1 0:0.511111 1:0.529412 2:-0.663717 3:0.0908447 4:-0.0390047 5:-0.0177749 6:-0.255605 7:-1 8:-1 9:1 
0 0:0.511111 1:0.529412 2:-0.699115 3:0.108553 4:-0.0268998 5:-0.082291 6:-0.223717 7:1 8:-1 9:-1 
0 0:0.525926 1:0.579832 2:-0.663717 3:-0.0384275 4:-0.242771 5:-0.154707 6:-0.208769 7:1 8:-1 9:-1 
0 0:0.525926 1:0.613445 2:-0.637168 3:0.16345 4:-0.0188299 5:-0.0546412 6:-0.0861983 7:-1 8:-1 9:1 
0 0:0.525926 1:0.563025 2:-0.663717 3:0.0288649 4:-0.194351 5:0.0164582 6:-0.239661 7:1 8:-1 9:-1 
0 0:0.525926 1:0.462185 2:-0.690265 3:-0.0391358 4:-0.141224 5:-0.227123 6:-0.275536 7:-1 8:-1 9:1 
0 0:0.540741 1:0.478992 2:-0.628319 3:0.0950947 4:-0.0275723 5:-0.0730744 6:-0.220727 7:1 8:-1 9:-1 
0 0:0.540741 1:0.546218 2:-0.699115 3:-0.0543651 4:-0.174176 5:-0.178407 6:-0.290483 7:1 8:-1 9:-1 
0 0:0.555556 1:0.596639 2:-0.681416 3:0.0547193 4:-0.147949 5:-0.100724 6:-0.136024 7:1 8:-1 9:-1 
0 0:0.57037 1:0.596639 2:-0.60177 3:0.104657 4:-0.154001 5:0.281106 6:-0.260588 7:1 8:-1 9:-1 
0 0:0.57037 1:0.512605 2:-0.690265 3:-0.282805 4:-0.412912 5:-0.287689 6:-0.256602 7:1 8:-1 9:-1 
0 0:0.585185 1:0.647059 2:-0.672566 3:0.229325 4:0.176866 5:-0.175774 6:-0.0682611 7:-1 8:-1 9:1 
1 0:0.614815 1:0.647059 2:-0.637168 3:0.268284 4:0.0941493 5:0.0941409 6:-0.0842053 7:-1 8:-1 9:1 
0 0:0.644444 1:0.714286 2:-0.663717 3:0.247742 4:0.00268998 5:0.0493746 6:-0.0114599 7:1 8:-1 9:-1 
0 0:0.659259 1:0.647059 2:-0.769912 3:0.100761 4:-0.0968393 5:-0.0164582 6:-0.61435 7:1 8:-1 9:-1 
0 0:0.674074 1:0.714286 2:-0.0884956 3:0.564016 4:0.488231 5:0.279789 6:0.017439 7:-1 8:-1 9:1 
0 0:0.674074 1:0.680672 2:-0.619469 3:0.515141 4:0.406187 5:0.00724161 6:0.0493274 7:-1 8:-1 9:1 
0 0:0.674074 1:0.731092 2:-0.681416 3:0.0855321 4:0.289845 5:0.103357 6:-0.145989 7:1 8:-1 9:-1 
0 0:0.688889 1:0.663866 2:-0.699115 3:0.141845 4:-0.00201748 5:-0.0928242 6:-0.106129 7:1 8:-1 9:-1 
0 0:0.718519 1:0.747899 2:-0.699115 3:0.36816 4:0.226631 5:0.0230415 6:0.0134529 7:1 8:-1 9:-1 
0 0:0.718519 1:0.747899 2:-0.619469 3:0.537808 4:0.278413 5:0.483871 6:0.0662681 7:-1 8:-1 9:1 
0 0:0.733333 1:0.831933 2:-0.646018 3:0.228971 4:-0.063887 5:-0.0572745 6:0.18286 7:1 8:-1 9:-1 
0 0:0.748148 1:0.764706 2:-0.663717 3:0.229325 4:-0.0887693 5:0.142857 6:0.0333832 7:1 8:-1 9:-1 
0 0:0.762963 1:0.714286 2:-0.637168 3:0.505578 4:0.27505 5:0.210007 6:0.123069 7:1 8:-1 9:-1 
1 0:0.792593 1:0.731092 2:-0.619469 3:0.59235 4:0.554136 5:0.17314 6:0.109118 7:1 8:-1 9:-1 
0 0:0.807407 1:0.865546 2:-0.584071 3:0.775456 4:0.655683 5:0.365372 6:0.216741 7:1 8:-1 9:-1 
0 0:1 1:1 2:-0.557522 3:0.595892 4:0.196369 5:0.104674 6:0.586447 7:1 8:-1 9:-1 
1 0:-1 1:-0.831933 2:-0.938053 3:-0.9915 4:-0.993948 5:-0.994733 6:-0.995017 7:-1 8:1 9:-1 
1 0:-0.733333 1:-0.630252 2:-0.893805 3:-0.964937 4:-0.97579 5:-0.963134 6:-0.931241 7:-1 8:1 9:-1 
1 0:-0.333333 1:-0.294118 2:-0.761062 3:-0.844519 4:-0.860121 5:-0.877551 6:-0.882412 7:-1 8:1 9:-1 
1 0:-0.333333 1:-0.327731 2:-0.858407 3:-0.860811 4:-0.895763 5:-0.910467 6:-0.897359 7:-1 8:1 9:-1 
1 0:-0.318519 1:-0.277311 2:-0.831858 3:-0.837082 4:-0.823134 5:-0.893351 6:-0.880419 7:-1 8:1 9:-1 
1 0:-0.303704 1:-0.243697 2:-0.849558 3:-0.777935 4:-0.749832 5:-0.880184 6:-0.869457 7:-1 8:1 9:-1 
1 0:-0.274074 1:-0.176471 2:-0.840708 3:-0.826457 4:-0.836584 5:-0.885451 6:-0.86846 7:-1 8:1 9:-1 
1 0:-0.244444 1:-0.193277 2:-0.840708 3:-0.787144 4:-0.809011 5:-0.826201 6:-0.850523 7:-1 8:1 9:-1 
1 0:-0.22963 1:-0.210084 2:-0.80531 3:-0.768373 4:-0.748487 5:-0.881501 6:-0.838565 7:-1 8:1 9:-1 
1 0:-0.22963 1:-0.176471 2:-0.840708 3:-0.802019 4:-0.841964 5:-0.840685 6:-0.843548 7:-1 8:1 9:-1 
1 0:-0.214815 1:-0.142857 2:-0.831858 3:-0.75881 4:-0.761264 5:-0.832785 6:-0.832586 7:-1 8:1 9:-1 
1 0:-0.214815 1:-0.210084 2:-0.840708 3:-0.80131 4:-0.850706 5:-0.803818 6:-0.840558 7:-1 8:1 9:-1 
1 0:-0.214815 1:-0.176471 2:-0.814159 3:-0.786081 4:-0.805649 5:-0.840685 6:-0.842551 7:-1 8:1 9:-1 
1 0:-0.2 1:-0.109244 2:-0.831858 3:-0.795644 4:-0.811701 5:-0.835418 6:-0.857499 7:-1 8:1 9:-1 
1 0:-0.185185 1:-0.12605 2:-0.79646 3:-0.725518 4:-0.73033 5:-0.830151 6:-0.797708 7:-1 8:-1 9:1 
1 0:-0.155556 1:-0.0420168 2:-0.814159 3:-0.725872 4:-0.73033 5:-0.763002 6:-0.827603 7:-1 8:1 9:-1 
1 0:-0.140741 1:-0.0420168 2:-0.814159 3:-0.689393 4:-0.680565 5:-0.805135 6:-0.788739 7:-1 8:1 9:-1 
1 0:-0.111111 1:-0.0420168 2:-0.814159 3:-0.740039 4:-0.780767 5:-0.790652 6:-0.800698 7:-1 8:1 9:-1 
