1 0:0.42 1:0.305 2:0.09 3:0.328 4:0.168 5:0.0615 6:0.082 8:1
1 0:0.505 1:0.385 2:0.105 3:0.5525 4:0.239 5:0.1245 6:0.1555 9:1
1 0:0.505 1:0.38 2:0.135 3:0.6855 4:0.361 5:0.1565 6:0.161 7:1
1 0:0.515 1:0.395 2:0.125 3:0.556 4:0.2695 5:0.096 6:0.17 8:1
1 0:0.515 1:0.425 2:0.145 3:0.9365 4:0.497 5:0.181 6:0.2185 9:1
1 0:0.515 1:0.4 2:0.125 3:0.5625 4:0.25 5:0.1245 6:0.17 8:1
1 0:0.52 1:0.4 2:0.125 3:0.5590000000000001 4:0.254 5:0.139 6:0.149 9:1
1 0:0.525 1:0.4 2:0.14 3:0.7205 4:0.3685 5:0.145 6:0.1735 9:1
1 0:0.53 1:0.43 2:0.13 3:0.7045 4:0.346 5:0.1415 6:0.189 8:1
1 0:0.53 1:0.4 2:0.125 3:0.7575 4:0.398 5:0.151 6:0.175 9:1
1 0:0.545 1:0.41 2:0.14 3:0.7405 4:0.3565 5:0.1775 6:0.203 7:1
1 0:0.55 1:0.43 2:0.14 3:0.84 4:0.375 5:0.218 6:0.1945 7:1
1 0:0.55 1:0.425 2:0.16 3:0.793 4:0.343 5:0.2035 6:0.215 9:1
1 0:0.5600000000000001 1:0.43 2:0.15 3:0.8745000000000001 4:0.453 5:0.161 6:0.22 7:1
1 0:0.5600000000000001 1:0.435 2:0.15 3:0.8715000000000001 4:0.4755 5:0.1835 6:0.1835 7:1
1 0:0.57 1:0.445 2:0.15 3:0.9875 4:0.504 5:0.207 6:0.249 9:1
1 0:0.575 1:0.465 2:0.15 3:1.08 4:0.595 5:0.2065 6:0.238 9:1
1 0:0.575 1:0.46 2:0.165 3:0.9155 4:0.4005 5:0.2465 6:0.2385 9:1
1 0:0.58 1:0.46 2:0.175 3:1.165 4:0.65 5:0.2205 6:0.3055 7:1
1 0:0.58 1:0.435 2:0.14 3:0.953 4:0.475 5:0.2165 6:0.2095 7:1
1 0:0.585 1:0.455 2:0.15 3:0.906 4:0.4095 5:0.23 6:0.2335 9:1
1 0:0.59 1:0.44 2:0.15 3:0.8725000000000001 4:0.387 5:0.215 6:0.245 9:1
1 0:0.59 1:0.465 2:0.15 3:1.151 4:0.613 5:0.239 6:0.2515 7:1
1 0:0.59 1:0.46 2:0.145 3:0.9905 4:0.453 5:0.2205 6:0.275 7:1
1 0:0.595 1:0.455 2:0.16 3:1.04 4:0.452 5:0.2655 6:0.288 7:1
1 0:0.6 1:0.455 2:0.155 3:0.945 4:0.4365 5:0.2085 6:0.25 9:1
1 0:0.6 1:0.465 2:0.2 3:1.259 4:0.6405 5:0.1985 6:0.357 9:1
0 0:0.605 1:0.485 2:0.165 3:0.9515 4:0.4535 5:0.193 6:0.2765 7:1
1 0:0.605 1:0.485 2:0.16 3:1.201 4:0.417 5:0.2875 6:0.38 7:1
1 0:0.605 1:0.515 2:0.17 3:1.289 4:0.6 5:0.2945 6:0.3315 7:1
0 0:0.61 1:0.485 2:0.17 3:1.1005 4:0.5125 5:0.229 6:0.305 7:1
1 0:0.615 1:0.475 2:0.13 3:0.8425 4:0.353 5:0.1915 6:0.251 8:1
0 0:0.62 1:0.485 2:0.155 3:1.049 4:0.462 5:0.231 6:0.25 9:1
1 0:0.62 1:0.435 2:0.155 3:1.012 4:0.477 5:0.236 6:0.275 7:1
1 0:0.62 1:0.48 2:0.165 3:1.0725 4:0.4815 5:0.235 6:0.312 9:1
0 0:0.625 1:0.52 2:0.175 3:1.4105 4:0.6909999999999999 5:0.322 6:0.3465 9:1
0 0:0.625 1:0.47 2:0.18 3:1.136 4:0.451 5:0.3245 6:0.305 9:1
1 0:0.63 1:0.47 2:0.145 3:1.1005 4:0.52 5:0.26 6:0.276 9:1
0 0:0.63 1:0.5 2:0.175 3:1.1105 4:0.467 5:0.268 6:0.329 7:1
1 0:0.63 1:0.455 2:0.15 3:1.1315 4:0.481 5:0.2745 6:0.305 9:1
0 0:0.63 1:0.48 2:0.15 3:1.271 4:0.6605 5:0.2425 6:0.31 9:1
0 0:0.63 1:0.49 2:0.225 3:1.336 4:0.6805 5:0.259 6:0.3245 7:1
0 0:0.635 1:0.505 2:0.145 3:1.1345 4:0.505 5:0.2655 6:0.315 7:1
1 0:0.635 1:0.51 2:0.185 3:1.308 4:0.544 5:0.318 6:0.377 9:1
1 0:0.64 1:0.515 2:0.205 3:1.5335 4:0.6635 5:0.3345 6:0.4025 7:1
0 0:0.645 1:0.515 2:0.175 3:1.546 4:0.7035 5:0.365 6:0.415 7:1
0 0:0.645 1:0.51 2:0.155 3:1.539 4:0.6405 5:0.3585 6:0.43 9:1
0 0:0.645 1:0.505 2:0.165 3:1.318 4:0.55 5:0.3015 6:0.335 7:1
0 0:0.65 1:0.545 2:0.175 3:1.5245 4:0.59 5:0.326 6:0.495 7:1
0 0:0.65 1:0.515 2:0.175 3:1.466 4:0.677 5:0.3045 6:0.4 9:1
1 0:0.65 1:0.5 2:0.16 3:1.3825 4:0.702 5:0.304 6:0.3195 7:1
1 0:0.65 1:0.485 2:0.14 3:1.175 4:0.475 5:0.2435 6:0.215 9:1
0 0:0.655 1:0.54 2:0.215 3:1.5555 4:0.695 5:0.296 6:0.444 7:1
0 0:0.655 1:0.51 2:0.215 3:1.7835 4:0.8885 5:0.4095 6:0.4195 9:1
0 0:0.66 1:0.505 2:0.165 3:1.374 4:0.589 5:0.351 6:0.345 9:1
0 0:0.665 1:0.515 2:0.18 3:1.389 4:0.5945 5:0.324 6:0.395 7:1
0 0:0.67 1:0.545 2:0.2 3:1.7025 4:0.833 5:0.374 6:0.41 9:1
0 0:0.67 1:0.51 2:0.175 3:1.5265 4:0.651 5:0.4475 6:0.345 9:1
0 0:0.67 1:0.5 2:0.19 3:1.519 4:0.616 5:0.388 6:0.415 9:1
0 0:0.68 1:0.5 2:0.185 3:1.741 4:0.7665 5:0.3255 6:0.4685 7:1
0 0:0.68 1:0.515 2:0.17 3:1.6115 4:0.8415 5:0.306 6:0.395 9:1
0 0:0.6899999999999999 1:0.525 2:0.2 3:1.7825 4:0.9165 5:0.3325 6:0.461 9:1
0 0:0.7 1:0.55 2:0.17 3:1.684 4:0.7534999999999999 5:0.3265 6:0.32 7:1
0 0:0.7 1:0.555 2:0.2 3:1.858 4:0.73 5:0.3665 6:0.595 9:1
0 0:0.705 1:0.5600000000000001 2:0.165 3:1.675 4:0.797 5:0.4095 6:0.388 9:1
0 0:0.72 1:0.5649999999999999 2:0.2 3:2.1055 4:1.017 5:0.363 6:0.494 9:1
